Order ID,Restaurant Name,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Order Month,Payment Category
ORD001,Domino's,05-01-2024 18:30,05-01-2024 18:45,15,Medium,Veg,Medium,Card,TRUE,FALSE,January,Online
ORD002,Papa John's,14-02-2024 20:00,14-02-2024 20:25,25,Large,Non-Veg,High,Wallet,TRUE,FALSE,February,Online
ORD003,Little Caesars,21-03-2024 12:15,21-03-2024 12:35,20,Small,Vegan,Low,UPI,FALSE,FALSE,March,Online
ORD004,Pizza Hut,10-04-2024 19:45,10-04-2024 20:10,25,XL,Cheese Burst,Medium,Cash,TRUE,FALSE,April,Offline
ORD005,Marco's Pizza,05-05-2024 13:00,05-05-2024 13:20,20,Medium,Non-Veg,High,Card,FALSE,TRUE,May,Online
ORD006,Domino's,06-01-2024 19:00,06-01-2024 19:20,20,Medium,Non-Veg,High,Card,TRUE,TRUE,January,Online
ORD007,Papa John's,07-01-2024 20:15,07-01-2024 20:40,25,Large,Veg,Medium,UPI,TRUE,TRUE,January,Online
ORD008,Little Caesars,08-01-2024 18:30,08-01-2024 18:50,20,Small,Vegan,Low,Cash,TRUE,FALSE,January,Offline
ORD009,Pizza Hut,09-01-2024 19:45,09-01-2024 20:10,25,XL,Cheese Burst,High,Wallet,TRUE,FALSE,January,Online
ORD010,Marco's Pizza,10-01-2024 13:00,10-01-2024 13:20,20,Medium,Non-Veg,Medium,Card,FALSE,FALSE,January,Online
ORD011,Domino's,11-01-2024 17:30,11-01-2024 17:50,20,Large,Veg,Low,UPI,FALSE,FALSE,January,Online
ORD012,Papa John's,12-01-2024 19:00,12-01-2024 19:25,25,Medium,Non-Veg,Medium,Cash,TRUE,FALSE,January,Offline
ORD013,Little Caesars,13-01-2024 18:15,13-01-2024 18:35,20,Small,Vegan,High,Wallet,TRUE,TRUE,January,Online
ORD014,Pizza Hut,14-01-2024 20:30,14-01-2024 20:55,25,XL,Cheese Burst,Low,Card,TRUE,TRUE,January,Online
ORD015,Marco's Pizza,15-01-2024 14:00,15-01-2024 14:20,20,Medium,Non-Veg,Medium,UPI,FALSE,FALSE,January,Online
ORD016,Domino's,16-01-2024 19:45,16-01-2024 20:10,25,Large,Veg,High,Cash,TRUE,FALSE,January,Offline
ORD017,Papa John's,17-01-2024 18:30,17-01-2024 18:55,25,Small,Vegan,Low,Wallet,TRUE,FALSE,January,Online
ORD018,Little Caesars,18-01-2024 20:00,18-01-2024 20:20,20,Medium,Non-Veg,Medium,Card,TRUE,FALSE,January,Online
ORD019,Pizza Hut,19-01-2024 19:15,19-01-2024 19:40,25,XL,Cheese Burst,High,UPI,TRUE,FALSE,January,Online
ORD020,Marco's Pizza,20-01-2024 13:30,20-01-2024 13:50,20,Medium,Non-Veg,Low,Cash,FALSE,TRUE,January,Offline
ORD021,Domino's,21-01-2024 18:45,21-01-2024 19:10,25,Large,Veg,Medium,Wallet,TRUE,TRUE,January,Online
ORD022,Papa John's,22-01-2024 20:00,22-01-2024 20:25,25,Small,Vegan,High,Card,TRUE,FALSE,January,Online
ORD023,Little Caesars,23-01-2024 19:30,23-01-2024 19:50,20,Medium,Non-Veg,Low,UPI,TRUE,FALSE,January,Online
ORD024,Pizza Hut,24-01-2024 18:15,24-01-2024 18:40,25,XL,Cheese Burst,Medium,Cash,TRUE,FALSE,January,Offline
ORD025,Marco's Pizza,25-01-2024 14:30,25-01-2024 14:50,20,Medium,Non-Veg,High,Wallet,FALSE,FALSE,January,Online
ORD026,Domino's,26-01-2024 20:00,26-01-2024 20:25,25,Large,Veg,Low,Card,TRUE,FALSE,January,Online
ORD027,Papa John's,27-01-2024 19:15,27-01-2024 19:40,25,Small,Vegan,Medium,UPI,TRUE,TRUE,January,Online
ORD028,Little Caesars,28-01-2024 18:30,28-01-2024 18:50,20,Medium,Non-Veg,High,Cash,TRUE,TRUE,January,Offline
ORD029,Pizza Hut,29-01-2024 20:00,29-01-2024 20:25,25,XL,Cheese Burst,Low,Wallet,TRUE,FALSE,January,Online
ORD030,Marco's Pizza,30-01-2024 13:15,30-01-2024 13:35,20,Medium,Non-Veg,Medium,Card,FALSE,FALSE,January,Online
ORD031,Domino's,01-02-2024 19:45,01-02-2024 20:10,25,Large,Veg,High,UPI,TRUE,FALSE,February,Online
ORD032,Papa John's,02-02-2024 18:00,02-02-2024 18:25,25,Small,Vegan,Low,Cash,TRUE,FALSE,February,Offline
ORD033,Little Caesars,03-02-2024 20:30,03-02-2024 20:55,25,Medium,Non-Veg,Medium,Wallet,TRUE,TRUE,February,Online
ORD034,Pizza Hut,04-02-2024 14:15,04-02-2024 14:35,20,XL,Cheese Burst,High,Card,FALSE,TRUE,February,Online
ORD035,Marco's Pizza,05-02-2024 19:00,05-02-2024 19:25,25,Medium,Non-Veg,Low,UPI,TRUE,FALSE,February,Online
ORD036,Domino's,06-02-2024 18:45,06-02-2024 19:10,25,Large,Veg,Medium,Card,TRUE,FALSE,February,Online
ORD037,Papa John's,07-02-2024 20:00,07-02-2024 20:25,25,Medium,Non-Veg,High,UPI,TRUE,FALSE,February,Online
ORD038,Little Caesars,08-02-2024 19:30,08-02-2024 19:50,20,Small,Vegan,Low,Cash,TRUE,FALSE,February,Offline
ORD039,Pizza Hut,09-02-2024 18:15,09-02-2024 18:40,25,XL,Cheese Burst,Medium,Wallet,TRUE,FALSE,February,Online
ORD040,Marco's Pizza,10-02-2024 14:30,10-02-2024 14:50,20,Medium,Non-Veg,High,Card,FALSE,TRUE,February,Online
ORD041,Domino's,11-02-2024 19:00,11-02-2024 19:20,20,Large,Veg,Low,UPI,TRUE,TRUE,February,Online
ORD042,Papa John's,12-02-2024 20:15,12-02-2024 20:40,25,Small,Vegan,Medium,Cash,TRUE,FALSE,February,Offline
ORD043,Little Caesars,13-02-2024 18:30,13-02-2024 18:50,20,Medium,Non-Veg,High,Wallet,TRUE,FALSE,February,Online
ORD044,Pizza Hut,14-02-2024 19:45,14-02-2024 20:10,25,XL,Cheese Burst,Low,Card,TRUE,FALSE,February,Online
ORD045,Marco's Pizza,15-02-2024 13:00,15-02-2024 13:20,20,Medium,Non-Veg,Medium,UPI,FALSE,FALSE,February,Online
ORD046,Domino's,16-02-2024 18:30,16-02-2024 18:50,20,Large,Veg,High,Cash,TRUE,FALSE,February,Offline
ORD047,Papa John's,17-02-2024 20:00,17-02-2024 20:25,25,Medium,Non-Veg,Low,Wallet,TRUE,TRUE,February,Online
ORD048,Little Caesars,18-02-2024 19:15,18-02-2024 19:35,20,Small,Vegan,Medium,Card,TRUE,TRUE,February,Online
